date,division,unemployment
2018-06-18,LUNES,81
2018-06-19,MARTES,86
2018-06-20,MIERCOLES,102
2018-06-21,JUEVES,94
2018-06-22,VIERNES,117
2018-06-23,SABADO,111
2018-06-24,DOMINGO,78
2018-06-25,LUNES,95
2018-06-26,MARTES,106
2018-06-27,MIERCOLES,104
2018-06-28,JUEVES,119
2018-06-29,VIERNES,89
2018-06-30,SABADO,80
2018-07-01,DOMINGO,54
2018-07-02,LUNES,45
2018-07-03,MARTES,81
2018-07-04,MIERCOLES,104
2018-07-05,JUEVES,123
2018-07-06,VIERNES,86
2018-07-07,SABADO,106
2018-07-08,DOMINGO,61
2018-07-09,LUNES,98
2018-07-10,MARTES,92
2018-07-11,MIERCOLES,95
2018-07-12,JUEVES,69
2018-07-13,VIERNES,98
2018-07-14,SABADO,87
2018-07-15,DOMINGO,47
2018-07-16,LUNES,97
2018-07-17,MARTES,134
2018-07-18,MIERCOLES,87
2018-07-19,JUEVES,90
2018-07-20,VIERNES,74
2018-07-21,SABADO,93
2018-07-22,DOMINGO,55
2018-07-23,LUNES,91
2018-07-24,MARTES,97
2018-07-25,MIERCOLES,107
2018-07-26,JUEVES,88
2018-07-27,VIERNES,106
2018-07-28,SABADO,100
2018-07-29,DOMINGO,73
2018-07-30,LUNES,95
2018-07-31,MARTES,104
2018-08-01,MIERCOLES,97
2018-08-02,JUEVES,78
2018-08-03,VIERNES,92
2018-08-04,SABADO,101
2018-08-05,DOMINGO,65
2018-08-06,LUNES,98
2018-08-07,MARTES,54
2018-08-08,MIERCOLES,87
2018-08-09,JUEVES,92
2018-08-10,VIERNES,114
2018-08-11,SABADO,109
2018-08-12,DOMINGO,53
2018-08-13,LUNES,127
2018-08-14,MARTES,96
2018-08-15,MIERCOLES,103
2018-08-16,JUEVES,102
2018-08-17,VIERNES,117
2018-08-18,SABADO,85
2018-08-19,DOMINGO,64
2018-08-20,LUNES,53
2018-08-21,MARTES,112
2018-08-22,MIERCOLES,80
2018-08-23,JUEVES,100
2018-08-24,VIERNES,104
2018-08-25,SABADO,90
2018-08-26,DOMINGO,72
2018-08-27,LUNES,91
2018-08-28,MARTES,100
2018-08-29,MIERCOLES,120
2018-08-30,JUEVES,105
2018-08-31,VIERNES,103
2018-09-01,SABADO,82
2018-09-02,DOMINGO,63
2018-09-03,LUNES,94
2018-09-04,MARTES,96
2018-09-05,MIERCOLES,90
2018-09-06,JUEVES,94
2018-09-07,VIERNES,95
2018-09-08,SABADO,98
2018-09-09,DOMINGO,54
2018-09-10,LUNES,94
2018-09-11,MARTES,83
2018-09-12,MIERCOLES,86
2018-09-13,JUEVES,80
2018-09-14,VIERNES,97
2018-09-15,SABADO,111
2018-09-16,DOMINGO,57
2018-09-17,LUNES,101
2018-09-18,MARTES,98
2018-09-19,MIERCOLES,84
2018-09-20,JUEVES,98
2018-09-21,VIERNES,120
2018-09-22,SABADO,87
2018-09-23,DOMINGO,62
2018-09-24,LUNES,75
2018-09-25,MARTES,100
2018-09-26,MIERCOLES,82
2018-09-27,JUEVES,78
2018-09-28,VIERNES,111
2018-09-29,SABADO,89
2018-09-30,DOMINGO,47
2018-10-01,LUNES,106
2018-10-02,MARTES,103
2018-10-03,MIERCOLES,89
2018-10-04,JUEVES,91
2018-10-05,VIERNES,102
2018-10-06,SABADO,94
2018-10-07,DOMINGO,51
2018-10-08,LUNES,89
2018-10-09,MARTES,109
2018-10-10,MIERCOLES,92
2018-10-11,JUEVES,83
2018-10-12,VIERNES,91
2018-10-13,SABADO,79
2018-10-14,DOMINGO,48
2018-10-15,LUNES,50
2018-10-16,MARTES,101
